subscriber_id,signup_date,country,region,age,gender,plan_type,monthly_price_usd,household_size,primary_device,payment_method,tenure_months,is_active,churn_date
SUB100000,2023-01-09,France,Europe,22,Female,Basic with Ads,6.99,1,Mobile,Credit Card,41,True,
SUB100001,2020-02-05,United Kingdom,Europe,48,Male,Basic with Ads,6.99,1,Smart TV,Credit Card,76,False,2022-12-08
SUB100002,2022-04-15,Italy,Europe,35,Male,Standard,15.49,2,Streaming Stick,Gift Card,50,True,
SUB100003,2024-10-10,Spain,Europe,49,Female,Basic with Ads,6.99,1,Laptop,Credit Card,19,True,
SUB100004,2020-04-12,United States,North America,36,Female,Basic with Ads,6.99,1,Mobile,Credit Card,74,False,2021-12-15
SUB100005,2020-10-11,Thailand,Southeast Asia,48,Female,Standard,15.49,1,Laptop,Debit Card,68,True,
SUB100006,2023-08-27,France,Europe,32,Male,Basic with Ads,6.99,1,Game Console,Debit Card,33,False,2024-10-19
SUB100007,2025-08-13,Germany,Europe,56,Female,Standard,15.49,1,Smart TV,Credit Card,9,True,
SUB100008,2022-08-14,United States,North America,42,Female,Standard,15.49,1,Mobile,Debit Card,46,True,
SUB100009,2019-07-28,United Kingdom,Europe,25,Male,Basic with Ads,6.99,1,Tablet,Credit Card,83,False,2020-07-22
SUB100010,2019-07-25,India,South Asia,44,Female,Premium,22.99,2,Game Console,Credit Card,83,True,
SUB100011,2022-06-05,Australia,Oceania,36,Male,Standard,15.49,1,Laptop,Credit Card,48,True,
SUB100012,2026-04-06,Brazil,Latin America,33,Female,Premium,22.99,3,Mobile,Credit Card,1,False,2026-05-08
SUB100013,2026-01-30,Canada,North America,37,Male,Basic with Ads,6.99,1,Mobile,Credit Card,4,True,
SUB100014,2024-03-06,United Kingdom,Europe,45,Male,Standard,15.49,2,Smart TV,Debit Card,27,True,
SUB100015,2024-09-08,United States,North America,13,Female,Standard,15.49,2,Laptop,Debit Card,21,True,
SUB100016,2022-10-22,Japan,East Asia,31,Female,Premium,22.99,2,Laptop,Debit Card,43,True,
SUB100017,2025-04-27,United States,North America,44,Male,Basic with Ads,6.99,1,Mobile,Credit Card,13,False,2025-08-06
SUB100018,2019-02-18,Canada,North America,39,Male,Standard,15.49,2,Streaming Stick,Mobile Wallet,88,False,2023-03-15
SUB100019,2025-11-19,Brazil,Latin America,21,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,6,True,
SUB100020,2021-04-29,France,Europe,13,Male,Premium,22.99,3,Mobile,Credit Card,61,False,2023-03-09
SUB100021,2025-06-06,India,South Asia,58,Female,Standard,15.49,2,Laptop,Debit Card,12,True,
SUB100022,2024-08-09,Thailand,Southeast Asia,33,Male,Standard,15.49,1,Streaming Stick,Debit Card,22,True,
SUB100023,2022-01-27,Turkey,Middle East,55,Male,Standard,15.49,2,Smart TV,Debit Card,52,True,
SUB100024,2022-12-28,France,Europe,46,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,41,True,
SUB100025,2023-10-18,United States,North America,25,Male,Basic with Ads,6.99,1,Mobile,Debit Card,31,False,2025-06-12
SUB100026,2023-06-01,South Korea,East Asia,13,Female,Standard,15.49,2,Laptop,Debit Card,36,True,
SUB100027,2026-01-13,United States,North America,29,Male,Standard,15.49,2,Smart TV,Debit Card,4,False,2026-03-16
SUB100028,2024-06-22,United States,North America,35,Female,Standard,15.49,2,Mobile,Credit Card,23,False,2025-01-20
SUB100029,2020-07-11,Mexico,Latin America,41,Male,Basic with Ads,6.99,1,Smart TV,Debit Card,71,False,2024-03-21
SUB100030,2026-01-31,France,Europe,21,Male,Premium,22.99,1,Game Console,Credit Card,4,True,
SUB100031,2022-12-08,Thailand,Southeast Asia,38,Male,Premium,22.99,3,Smart TV,Credit Card,42,True,
SUB100032,2019-08-06,India,South Asia,38,Female,Premium,22.99,4,Smart TV,Credit Card,83,True,
SUB100033,2019-07-17,India,South Asia,48,Female,Standard,15.49,2,Mobile,Debit Card,83,False,2023-12-28
SUB100034,2021-09-05,South Korea,East Asia,32,Male,Standard,15.49,2,Smart TV,Credit Card,57,True,
SUB100035,2016-08-05,United States,North America,41,Female,Standard,15.49,2,Streaming Stick,Carrier Billing,119,True,
SUB100036,2023-03-01,United States,North America,39,Undisclosed,Premium,22.99,3,Laptop,Mobile Wallet,39,True,
SUB100037,2016-10-07,South Korea,East Asia,47,Male,Basic with Ads,6.99,1,Laptop,Credit Card,117,False,2022-10-12
SUB100038,2021-08-18,United States,North America,25,Male,Premium,22.99,3,Smart TV,Mobile Wallet,58,True,
SUB100039,2022-06-17,Mexico,Latin America,13,Female,Standard,15.49,1,Mobile,Credit Card,48,True,
SUB100040,2022-05-07,United Kingdom,Europe,32,Female,Standard,15.49,1,Smart TV,Gift Card,49,True,
SUB100041,2025-08-18,Canada,North America,32,Female,Basic with Ads,6.99,1,Smart TV,Credit Card,9,False,2026-02-04
SUB100042,2017-07-16,Spain,Europe,20,Non-binary,Premium,22.99,4,Mobile,Credit Card,108,True,
SUB100043,2024-03-19,India,South Asia,16,Female,Standard,15.49,1,Mobile,Gift Card,26,True,
SUB100044,2018-03-02,Canada,North America,28,Male,Standard,15.49,1,Laptop,Debit Card,100,True,
SUB100045,2025-05-13,Germany,Europe,34,Male,Standard,15.49,1,Mobile,Credit Card,12,True,
SUB100046,2019-07-24,United Kingdom,Europe,37,Male,Premium,22.99,3,Streaming Stick,Mobile Wallet,83,False,2024-07-19
SUB100047,2023-03-18,India,South Asia,13,Non-binary,Standard,15.49,2,Mobile,Debit Card,39,True,
SUB100048,2024-12-07,Mexico,Latin America,13,Male,Basic with Ads,6.99,1,Mobile,Debit Card,18,False,2025-08-12
SUB100049,2025-06-03,United States,North America,50,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,12,True,
SUB100050,2025-03-29,United States,North America,33,Male,Standard,15.49,2,Laptop,Credit Card,14,True,
SUB100051,2022-12-11,United States,North America,35,Male,Premium,22.99,1,Tablet,Credit Card,42,True,
SUB100052,2025-10-22,Germany,Europe,18,Male,Standard,15.49,1,Streaming Stick,Carrier Billing,7,True,
SUB100053,2025-05-15,Mexico,Latin America,35,Female,Standard,15.49,2,Smart TV,Credit Card,12,True,
SUB100054,2026-01-31,Spain,Europe,31,Male,Basic with Ads,6.99,1,Smart TV,Debit Card,4,False,2026-05-29
SUB100055,2024-02-16,Germany,Europe,27,Female,Basic with Ads,6.99,1,Streaming Stick,Credit Card,27,True,
SUB100056,2024-08-13,South Korea,East Asia,16,Male,Standard,15.49,2,Mobile,Credit Card,21,False,2025-11-01
SUB100057,2021-11-07,Japan,East Asia,24,Female,Standard,15.49,1,Laptop,Credit Card,55,False,2023-01-31
SUB100058,2021-03-21,United States,North America,61,Male,Standard,15.49,1,Streaming Stick,Mobile Wallet,63,True,
SUB100059,2017-06-10,United States,North America,31,Female,Basic with Ads,6.99,1,Smart TV,PayPal,109,False,2023-09-18
SUB100060,2022-09-03,Mexico,Latin America,46,Female,Basic with Ads,6.99,1,Smart TV,Debit Card,45,True,
SUB100061,2023-05-02,South Korea,East Asia,33,Male,Standard,15.49,2,Tablet,Gift Card,37,True,
SUB100062,2020-02-20,Japan,East Asia,31,Male,Premium,22.99,4,Laptop,Debit Card,76,False,2025-09-08
SUB100063,2018-10-07,France,Europe,27,Female,Basic with Ads,6.99,1,Mobile,Carrier Billing,93,False,2025-06-25
SUB100064,2023-01-04,Brazil,Latin America,53,Male,Standard,15.49,2,Streaming Stick,Credit Card,41,True,
SUB100065,2023-12-05,Japan,East Asia,40,Male,Basic with Ads,6.99,1,Laptop,Carrier Billing,30,True,
SUB100066,2026-05-18,Japan,East Asia,25,Male,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,1,True,
SUB100067,2025-01-15,India,South Asia,30,Female,Basic with Ads,6.99,1,Smart TV,Mobile Wallet,16,True,
SUB100068,2017-11-20,United States,North America,49,Male,Standard,15.49,2,Game Console,Credit Card,103,True,
