watchlist_id,subscriber_id,title_id,added_date,watched
1,SUB104004,TTL201827,2023-06-05,True
2,SUB102310,TTL201354,2023-01-31,False
3,SUB111860,TTL204871,2022-06-21,True
4,SUB113333,TTL205130,2023-12-23,True
5,SUB106850,TTL204396,2022-02-02,False
6,SUB100698,TTL203251,2023-03-27,False
7,SUB103251,TTL200291,2026-04-05,False
8,SUB105756,TTL208429,2025-04-07,True
9,SUB105179,TTL208423,2024-10-12,True
10,SUB107746,TTL204563,2025-11-09,True
11,SUB113299,TTL206631,2021-02-02,True
12,SUB101466,TTL204295,2024-02-11,False
13,SUB111809,TTL208076,2023-12-29,False
14,SUB108374,TTL208326,2025-07-05,False
15,SUB114701,TTL205443,2025-05-19,True
16,SUB108408,TTL204121,2025-03-25,False
17,SUB105981,TTL208547,2026-01-30,True
18,SUB109837,TTL203743,2026-05-03,True
19,SUB102414,TTL204873,2021-11-22,False
20,SUB103949,TTL207146,2025-12-22,False
21,SUB100743,TTL204000,2024-05-26,True
22,SUB103304,TTL206407,2022-12-15,False
23,SUB113702,TTL202073,2023-03-21,False
24,SUB111874,TTL200645,2019-02-18,False
25,SUB113427,TTL205416,2024-10-04,True
26,SUB105171,TTL201500,2026-03-10,True
27,SUB114491,TTL207267,2025-10-03,True
28,SUB109383,TTL206397,2023-07-16,True
29,SUB106027,TTL200414,2020-12-17,False
30,SUB107137,TTL204111,2025-05-16,False
31,SUB105240,TTL203995,2024-01-25,False
32,SUB102791,TTL202649,2023-08-17,False
33,SUB114614,TTL208766,2025-02-26,False
34,SUB114149,TTL201920,2025-07-14,False
35,SUB104304,TTL203589,2026-04-08,False
36,SUB111575,TTL204386,2025-06-27,False
37,SUB108138,TTL200276,2026-02-03,False
38,SUB112155,TTL206261,2025-03-17,False
39,SUB104738,TTL204097,2024-09-19,True
40,SUB105477,TTL200265,2025-10-15,False
41,SUB103297,TTL206706,2025-12-23,False
42,SUB108021,TTL206925,2025-05-04,True
43,SUB111332,TTL200208,2026-05-01,False
44,SUB100367,TTL202465,2024-07-09,True
45,SUB105283,TTL205491,2023-09-05,True
46,SUB103551,TTL201763,2026-03-03,True
47,SUB107214,TTL201337,2026-04-17,True
48,SUB100512,TTL208393,2024-07-11,False
49,SUB104738,TTL204680,2025-04-27,True
50,SUB100639,TTL201882,2025-01-20,True
51,SUB101663,TTL203859,2026-02-16,False
52,SUB107789,TTL200267,2026-04-01,True
53,SUB112086,TTL204951,2019-01-17,False
54,SUB112472,TTL205962,2024-04-03,True
55,SUB105982,TTL206513,2025-01-03,True
56,SUB112441,TTL206974,2024-03-16,False
57,SUB101686,TTL208274,2026-04-05,False
58,SUB110994,TTL203399,2023-04-17,False
59,SUB112369,TTL206264,2024-07-01,False
60,SUB102964,TTL207406,2024-09-20,True
61,SUB113663,TTL208507,2025-05-14,True
62,SUB106984,TTL206994,2026-04-16,True
63,SUB114455,TTL202523,2026-03-14,False
64,SUB106083,TTL208149,2023-10-29,False
65,SUB113474,TTL207336,2022-02-04,False
66,SUB103604,TTL204461,2023-10-26,True
67,SUB113955,TTL200033,2024-09-27,True
68,SUB104143,TTL207141,2026-04-09,True
69,SUB105340,TTL205903,2025-08-23,True
70,SUB110717,TTL208294,2025-07-09,True
71,SUB100723,TTL208055,2025-08-21,True
72,SUB105561,TTL205921,2026-05-11,True
73,SUB101695,TTL202604,2025-06-02,True
74,SUB105900,TTL204765,2026-01-09,True
75,SUB108983,TTL205304,2026-05-16,False
76,SUB100922,TTL202384,2022-11-28,True
77,SUB103069,TTL202948,2023-10-25,True
78,SUB106525,TTL200485,2022-12-29,True
79,SUB113022,TTL205971,2026-01-09,True
80,SUB110607,TTL202841,2024-12-26,False
81,SUB106086,TTL200857,2025-10-12,True
82,SUB114625,TTL203330,2025-07-23,False
83,SUB113200,TTL207394,2025-05-06,False
84,SUB104264,TTL207730,2024-11-12,False
85,SUB111512,TTL202713,2020-01-06,False
86,SUB110924,TTL206714,2026-03-05,False
87,SUB114206,TTL201868,2025-06-12,True
88,SUB104158,TTL206312,2026-05-17,True
89,SUB101902,TTL204514,2026-01-03,True
90,SUB103240,TTL202097,2021-12-17,False
